iter	Passed	Remaining
0	7	7417
1	14	7192
2	19	6475
3	22	5720
4	26	5325
5	29	4837
6	31	4439
7	33	4140
8	35	3911
9	37	3690
10	40	3596
11	41	3429
12	43	3265
13	45	3173
14	46	3067
15	47	2945
16	49	2837
17	50	2753
18	52	2685
19	53	2633
20	55	2573
21	58	2602
22	59	2547
23	61	2490
24	63	2470
25	64	2434
26	66	2388
27	67	2346
28	69	2329
29	71	2307
30	72	2268
31	73	2233
32	75	2215
33	77	2201
34	78	2169
35	79	2140
36	81	2114
37	82	2092
38	83	2068
39	85	2044
40	86	2022
41	88	2011
42	90	2008
43	91	1990
44	93	1990
45	95	1985
46	97	1974
47	98	1960
48	100	1947
49	102	1948
50	103	1931
51	105	1920
52	106	1906
53	107	1891
54	109	1877
55	110	1861
56	116	1933
57	118	1922
58	119	1908
59	121	1899
60	122	1886
61	123	1875
62	125	1864
63	127	1861
64	128	1851
65	129	1839
66	131	1832
67	133	1823
68	134	1813
69	136	1808
70	137	1800
71	139	1792
72	140	1784
73	141	1774
74	143	1774
75	145	1767
76	146	1760
77	148	1757
78	150	1759
79	152	1755
80	154	1757
81	156	1751
82	157	1742
83	159	1735
84	161	1734
85	162	1729
86	164	1723
87	165	1716
88	167	1714
89	170	1728
90	172	1723
91	174	1724
92	176	1719
93	177	1712
94	179	1711
95	181	1710
96	183	1706
97	185	1703
98	186	1696
99	187	1691
100	189	1686
101	191	1684
102	192	1678
103	196	1695
104	198	1693
105	200	1689
106	202	1685
107	203	1682
108	205	1677
109	206	1674
110	208	1670
111	210	1666
112	211	1660
113	213	1655
114	214	1650
115	216	1651
116	218	1646
117	219	1640
118	221	1638
119	223	1635
120	224	1634
121	226	1628
122	229	1637
123	231	1633
124	232	1628
125	234	1625
126	235	1621
127	237	1615
128	239	1616
129	240	1611
130	242	1608
131	243	1603
132	245	1598
133	248	1607
134	250	1602
135	251	1599
136	254	1600
137	255	1596
138	257	1592
139	258	1590
140	260	1586
141	261	1581
142	263	1576
143	264	1574
144	266	1573
145	268	1568
146	269	1564
147	272	1566
148	274	1568
149	275	1563
150	278	1563
151	280	1563
152	281	1559
153	283	1556
154	284	1553
155	286	1548
156	287	1544
157	289	1544
158	291	1540
159	292	1536
160	294	1534
161	296	1532
162	297	1528
163	298	1524
164	300	1519
165	301	1516
166	303	1514
167	304	1510
168	306	1507
169	308	1505
170	309	1501
171	311	1497
172	313	1496
173	315	1496
174	316	1493
175	319	1498
176	321	1494
177	322	1490
178	324	1487
179	325	1483
180	327	1480
181	328	1476
182	329	1473
183	331	1471
184	333	1468
185	334	1464
186	336	1464
187	338	1463
188	340	1459
189	341	1456
190	343	1455
191	345	1454
192	346	1450
193	348	1447
194	350	1447
195	352	1445
196	353	1441
197	355	1440
198	357	1437
199	358	1434
200	359	1431
201	361	1429
202	363	1426
203	364	1423
204	366	1420
205	367	1418
206	369	1416
207	371	1413
208	372	1410
209	374	1407
210	375	1405
211	377	1402
212	378	1399
213	380	1397
214	382	1395
215	383	1392
216	385	1390
217	387	1388
218	388	1385
219	390	1382
220	391	1380
221	393	1377
222	395	1376
223	396	1373
224	398	1372
225	400	1370
226	401	1367
227	403	1364
228	404	1363
229	406	1360
230	407	1356
231	409	1355
232	411	1353
233	412	1350
234	414	1349
235	416	1346
236	417	1344
237	418	1341
238	420	1338
239	422	1336
240	423	1333
241	424	1331
242	427	1330
243	429	1330
244	431	1328
245	433	1327
246	434	1325
247	436	1323
248	437	1320
249	439	1319
250	441	1317
251	442	1314
252	444	1311
253	445	1308
254	447	1307
255	449	1306
256	451	1304
257	452	1301
258	454	1299
259	455	1296
260	457	1295
261	458	1292
262	460	1290
263	462	1289
264	464	1286
265	465	1284
266	466	1281
267	468	1280
268	470	1277
269	472	1277
270	474	1276
271	475	1273
272	482	1285
273	484	1284
274	486	1282
275	487	1279
276	489	1276
277	491	1275
278	492	1272
279	493	1269
280	495	1266
281	496	1264
282	498	1262
283	499	1259
284	501	1257
285	502	1254
286	503	1251
287	505	1249
288	506	1246
289	508	1245
290	510	1243
291	511	1240
292	513	1238
293	514	1236
294	516	1234
295	517	1231
296	519	1230
297	521	1228
298	522	1225
299	524	1223
300	525	1220
301	527	1219
302	529	1217
303	530	1214
304	532	1214
305	534	1212
306	536	1210
307	537	1208
308	539	1206
309	541	1204
310	542	1201
311	543	1199
312	545	1196
313	547	1195
314	548	1192
315	550	1190
316	551	1188
317	553	1186
318	554	1184
319	556	1182
320	558	1180
321	559	1177
322	560	1175
323	563	1175
324	565	1174
325	566	1171
326	568	1169
327	569	1167
328	571	1165
329	574	1165
330	576	1164
331	577	1162
332	579	1160
333	581	1159
334	582	1157
335	584	1155
336	586	1154
337	588	1152
338	589	1150
339	591	1148
340	592	1145
341	594	1144
342	596	1141
343	598	1140
344	599	1138
345	601	1136
346	602	1133
347	604	1131
348	605	1129
349	607	1127
350	608	1125
351	610	1123
352	611	1121
353	613	1118
354	614	1116
355	616	1115
356	618	1113
357	619	1111
358	621	1108
359	622	1107
360	624	1105
361	625	1103
362	627	1101
363	629	1100
364	631	1099
365	633	1096
366	636	1098
367	637	1095
368	639	1093
369	641	1091
370	642	1089
371	644	1087
372	645	1085
373	647	1083
374	648	1081
375	650	1078
376	651	1076
377	652	1073
378	654	1071
379	655	1069
380	656	1067
381	658	1065
382	659	1063
383	661	1061
384	663	1059
385	664	1057
386	666	1055
387	667	1053
388	669	1050
389	670	1048
390	672	1047
391	674	1045
392	675	1043
393	677	1041
394	678	1039
395	680	1037
396	681	1035
397	682	1033
398	685	1031
399	686	1029
400	688	1027
401	689	1026
402	691	1024
403	692	1022
404	695	1021
405	697	1020
406	698	1017
407	700	1016
408	702	1014
409	703	1012
410	705	1010
411	708	1010
412	709	1008
413	710	1005
414	712	1004
415	714	1003
416	716	1001
417	717	999
418	720	998
419	721	996
420	723	994
421	724	992
422	726	990
423	727	988
424	729	986
425	731	985
426	732	983
427	735	982
428	736	980
429	738	978
430	739	976
431	741	974
432	743	973
433	744	971
434	746	969
435	747	966
436	749	965
437	750	963
438	752	961
439	753	959
440	755	957
441	757	956
442	759	954
443	760	952
444	762	950
445	763	948
446	764	946
447	766	944
448	767	942
449	769	939
450	770	937
451	771	935
452	773	934
453	775	932
454	776	930
455	778	928
456	779	926
457	781	924
458	783	923
459	785	921
460	786	919
461	788	917
462	790	916
463	792	915
464	794	914
465	796	912
466	798	911
467	800	909
468	801	907
469	804	906
470	805	905
471	807	903
472	808	901
473	810	899
474	812	897
475	813	895
476	815	894
477	817	892
478	818	890
479	819	888
480	822	887
481	824	885
482	825	883
483	827	881
484	828	880
485	830	878
486	832	876
487	834	875
488	835	872
489	836	870
490	837	868
491	839	866
492	840	864
493	842	862
494	843	860
495	844	858
496	846	856
497	847	854
498	849	852
499	850	850
500	852	848
501	853	846
502	855	844
503	857	843
504	858	841
505	860	840
506	862	838
507	863	836
508	865	834
509	868	834
510	869	832
511	871	830
512	873	828
513	874	826
514	876	824
515	877	823
516	880	822
517	882	820
518	883	818
519	885	817
520	887	815
521	888	813
522	889	811
523	891	809
524	893	808
525	894	806
526	896	804
527	897	802
528	899	800
529	901	799
530	902	797
531	904	795
532	905	793
533	907	791
534	909	790
535	910	788
536	911	786
537	915	786
538	917	784
539	919	783
540	921	781
541	923	779
542	924	778
543	928	778
544	930	776
545	931	774
546	932	772
547	934	771
548	936	769
549	938	768
550	940	766
551	941	764
552	943	762
553	944	760
554	946	758
555	947	757
556	949	755
557	951	753
558	952	751
559	954	750
560	956	748
561	957	746
562	959	744
563	961	743
564	963	741
565	965	740
566	966	738
567	967	736
568	969	734
569	970	732
570	972	730
571	973	728
572	976	727
573	977	725
574	979	723
575	980	722
